"url","size","# of outlinks","content type"
"http://www.latimes.com/",533808,250,"text/html;charset=UTF-8"
"http://www.latimes.com/local/weather/?regionalZipCode=90012",223093,80,"text/html;charset=UTF-8"
"http://www.latimes.com/local/lanow/92610690-132.html",162488,46,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/la-sci-sn-mit-president-qa-20170210-story.html",242077,75,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/la-sci-sn-dna-gene-editing-20170214-story.html",232719,72,"text/html;charset=UTF-8"
"http://www.latimes.com/travel/",380730,157,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/la-sci-sn-life-asteroid-ceres-20170216-story.html",245272,95,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/la-sci-sn-deep-sea-pollution-20170215-story.html",238271,80,"text/html;charset=UTF-8"
"http://www.latimes.com/health/la-he-mark-feuerstein-20161227-story.html",225039,65,"text/html;charset=UTF-8"
"http://www.latimes.com/politics/la-na-pol-trump-battles-press-20170218-story.html",250213,83,"text/html;charset=UTF-8"
"http://www.latimes.com/travel/deals/la-tr-webbuzz-20170219-story.html",212934,60,"text/html;charset=UTF-8"
"http://www.latimes.com/entertainment/92383947-132.html",163281,46,"text/html;charset=UTF-8"
"http://www.latimes.com/opinion/opinion-la/",293497,48,"text/html;charset=UTF-8"
"http://www.latimes.com/books/jacketcopy/92600946-132.html",161858,46,"text/html;charset=UTF-8"
"http://www.latimes.com/business/technology/la-fi-tn-spectacles-20170220-story.html",200205,69,"text/html;charset=UTF-8"
"http://www.latimes.com/opinion/endorsements/la-ed-cd7-ratliff-20170217-story.html",234545,73,"text/html;charset=UTF-8"
"http://www.latimes.com/health/la-he-la-walks-mentryville-20170215-story.html",1484033,62,"text/html;charset=UTF-8"
"http://www.latimes.com/world/mexico-americas/la-fg-mexico-us-factories-20170217-htmlstory.html",151045,55,"text/html;charset=UTF-8"
"http://www.latimes.com/business/86492952-132.html",162161,46,"text/html;charset=UTF-8"
"http://www.latimes.com/health/",290733,132,"text/html;charset=UTF-8"
"http://www.latimes.com/sports/highschool/varsity-times/92578883-132.html",161510,46,"text/html;charset=UTF-8"
"http://www.latimes.com/sports/nba/la-sp-nba-all-star-game-20170219-story.html",200870,83,"text/html;charset=UTF-8"
"http://www.latimes.com/food/jonathan-gold/",290580,105,"text/html;charset=UTF-8"
"http://www.latimes.com/health/la-he-health-events-20170215-story.html",230239,65,"text/html;charset=UTF-8"
"http://www.latimes.com/opinion/op-ed/la-oe-scerri-science-is-not-about-brilliant-breakthroughs-20170220-story.html",239905,74,"text/html;charset=UTF-8"
"http://www.latimes.com/local/obituaries/",308110,98,"text/html;charset=UTF-8"
"http://www.latimes.com/world/middleeast/la-fg-iraq-mosul-offensive-20170218-story.html",251259,81,"text/html;charset=UTF-8"
"http://www.latimes.com/sports/highschool/varsity-times/la-sp-prep-baseball-players-20170220-story.html",243663,68,"text/html;charset=UTF-8"
"http://www.latimes.com/entertainment/movies/la-et-mn-oscars-critic-why-moonlight-deserves-to-win-best-picture-20170217-htmlstory.html",193472,47,"text/html;charset=UTF-8"
"http://www.latimes.com/local/obituaries/la-me-richard-schickel-dies-20170219-story.html",229289,65,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/",266083,49,"text/html;charset=UTF-8"
"http://www.latimes.com/opinion/",329301,128,"text/html;charset=UTF-8"
"http://www.latimes.com/books/jacketcopy/",204962,45,"text/html;charset=UTF-8"
"http://www.latimes.com/entertainment/arts/la-et-cm-young-composers-la-phil-20170219-story.html",248739,65,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/la-sci-sn-juno-jupiter-orbit-20170217-story.html",231405,71,"text/html;charset=UTF-8"
"http://www.latimes.com/fashion/",258859,105,"text/html;charset=UTF-8"
"http://www.latimes.com/hoyla-las-filtraciones-enfurecen-al-presidente-que-tuitea-boberias-20170219-story.html",199134,55,"text/html;charset=UTF-8"
"http://www.latimes.com/local/california/la-me-sheriff-deputies-misconduct-list-20170219-story.html",263409,82,"text/html;charset=UTF-8"
"http://www.latimes.com/travel/la-tr-california-bucket-list-updates-kvetch-over-knishes-at-cantor-s-in-1484251777-htmlstory.html",157795,47,"text/html;charset=UTF-8"
"http://www.latimes.com/world/middleeast/la-fg-iraq-mosul-fight-begins-20170219-story.html",249999,78,"text/html;charset=UTF-8"
"http://www.latimes.com/opinion/editorials/",226992,79,"text/html;charset=UTF-8"
"http://www.latimes.com/popular/",143496,66,"text/html;charset=UTF-8"
"http://www.latimes.com/science/sciencenow/la-sci-sn-el-nino-california-20170214-story.html",248217,78,"text/html;charset=UTF-8"
"http://www.latimes.com/travel/deals/la-tr-vegas-brittney-spears-new-dates-20170207-story.html",235265,72,"text/html;charset=UTF-8"
"http://www.latimes.com/entertainment/movies/",306666,113,"text/html;charset=UTF-8"
"http://www.latimes.com/travel/la-tr-california-bucket-list-updates-eat-like-a-lumberjack-at-the-samoa-1484249940-htmlstory.html",157002,46,"text/html;charset=UTF-8"
"http://www.latimes.com/visuals/framework/",259683,87,"text/html;charset=UTF-8"
"http://www.latimes.com/local/lanow/la-me-tom-hayden-ucla-memorial-20170217-story.html",242222,76,"text/html;charset=UTF-8"
"http://www.latimes.com/world/africa/",336889,139,"text/html;charset=UTF-8"
"http://www.latimes.com/business/latest/",303503,107,"text/html;charset=UTF-8"
"http://www.latimes.com/local/lanow/la-me-traffic-los-angeles-20170220-story.html",237593,74,"text/html;charset=UTF-8"
"http://www.latimes.com/local/lanow/la-me-ln-zika-future-20170130-story.html",238050,92,"text/html;charset=UTF-8"
"http://www.latimes.com/food/jonathan-gold/la-fo-gold-71-above-20170119-story.html",255721,60,"text/html;charset=UTF-8"
"http://www.latimes.com/travel/deals/la-tr-las-vegas-uncorkd-event-20170201-story.html",193123,72,"text/html;charset=UTF-8"
"http://www.latimes.com/local/california/",393417,132,"text/html;charset=UTF-8"
