url,size,# of outlinks,content type
http://www.latimes.com/local/,366964,124,text/html
http://www.latimes.com/home/,321949,142,text/html
http://www.latimes.com/world/,332829,168,text/html
http://www.latimes.com/sports/more/,237306,126,text/html
http://www.latimes.com/business/hollywood/la-fi-ct-oscar-abc-ads-20170217-story.html,235008,60,text/html
http://www.latimes.com/local/lanow/la-live-powerful-storms-moving-l-area-20170216-htmlstory.html,238958,64,text/html
http://www.latimes.com/sports/latest/,281640,128,text/html
http://www.latimes.com/sports/angels/,307648,122,text/html
http://www.latimes.com/business/technology/la-fi-tn-snapchat-ipo-pricing-20170216-story.html,230326,88,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-crispr-patent-decision-20170215-story.html,258904,81,text/html
http://www.latimes.com/opinion/editorials/la-ed-cd13-ofarrell-20170215-story.html,229161,64,text/html
http://www.latimes.com/entertainment/la-et-entertainment-news-updates-february-2017-htmlstory.html,280979,148,text/html
http://www.latimes.com/visuals/photography/la-me-lake-oroville-spillway-pictures-photogallery.html,189611,47,text/html
http://www.latimes.com/science/sciencenow/la-sci-scientists-politics-trump-20170209-story.html,269691,91,text/html
http://www.latimes.com/local/california/la-live-powerful-storms-moving-l-area-monster-storm-set-to-dump-whopping-4-1487340451-htmlstory.html,157434,40,text/html
http://www.latimes.com/visuals/photography/,260869,57,text/html
http://www.latimes.com/food/dailydish/91928804-132.html,164160,48,text/html
http://www.latimes.com/entertainment/arts/la-et-cm-grimly-handsome-review-20170217-story.html,225847,60,text/html
http://www.latimes.com/sports/,291542,143,text/html
http://www.latimes.com/politics/washington/la-na-essential-washington-updates-donald-trump-called-fake-news-media-1487377442-htmlstory.html,160656,52,text/html
http://www.latimes.com/nation/latest/,241787,77,text/html
http://www.latimes.com/fashion/la-ig-wwd-frank-body-mask-category-20170217-story.html,223110,65,text/html
http://www.latimes.com/sports/lakers/,354484,131,text/html
http://www.latimes.com/local/lanow/la-me-ln-robert-durst-secret-witness-20170216-story.html,247363,81,text/html
http://www.latimes.com/home/la-hm-erskine-column-20170218-story.html,227234,61,text/html
http://www.latimes.com/politics/la-na-pol-trump-daca-20170216-story.html,250500,92,text/html
http://www.latimes.com/visuals/framework/92610256-132.html,159554,44,text/html
http://www.latimes.com/health/la-he-healthy-super-bowl-snacks-20170130-story.html,221711,65,text/html
http://www.latimes.com/local/lanow/la-me-ln-7th-district-council-race-20170217-story.html,251231,83,text/html
http://www.latimes.com/food/dailydish/la-dd-weed-cannabis-dinner-class-20170217-story.html,1588557,70,text/html
http://www.latimes.com/politics/la-na-pol-trump-business-20170217-story.html,252863,86,text/html
http://www.latimes.com/style/latest/,281100,104,text/html
http://www.latimes.com/business/la-fi-travel-briefcase-bizarre-pilot-20170218-story.html,231730,74,text/html
http://www.latimes.com/entertainment/tv/la-et-st-president-trump-first-press-conference-cnn-fake-leaked-20170216-story.html,222615,65,text/html
http://www.latimes.com/local/obituaries/la-me-norma-mccorvey-snap-story.html,240923,70,text/html
http://www.latimes.com/travel/deals/la-tr-joshua-tree-wildflower-tours-20170216-story.html,235924,66,text/html
http://www.latimes.com/politics/la-na-pol-congress-trump-tensions-20170217-story.html,247522,75,text/html
http://www.latimes.com/opinion/endorsements/la-ed-measure-h-20170218-story.html,231446,68,text/html
http://www.latimes.com/world/latest/,288257,101,text/html
http://www.latimes.com/health/la-he-health-roundup-20170208-story.html,221217,65,text/html
http://www.latimes.com/opinion/endorsements/,130747,52,text/html
